"Modelo","AIC","Moran_I_residuos","p_Moran_residuos"
"OLS",-179.331660897231,0.0641851062070538,0.153
"SLX",-182.002966971485,-0.0180749753146593,0.494
"SEM",-178.066775938123,-0.0021361940212951,0.424
"SAR",-177.643308348811,0.0386844816901117,0.263
"SDM",-180.021613372056,-0.0079003558916118,0.477
"SDEM",-180.056014370604,-0.000993426080581441,0.417
"SAC",-176.067967466664,-0.00204530408297514,0.43
"GNS",-178.117886471049,-0.00370065762736483,0.434
