Codigo;Nombre estacion;Inicio;Fin;Latitud;Longitud;X;Y;Elevacion;Departamento;% de faltantes;Tendencia;Beta;M24;PP media
26240090;Puerto Belgica;1/01/1978;28/02/2025;7.668305556;-75.28444444;4748092.805;2406009.532;80;Antioquia;8.4;No;-0.634;122.33;3271.28276
26240150;Puerto Valdivia;1/11/1979;24/03/2025;7.29;-75.4;4735115.088;2364238.91;301;Antioquia;8.55;No;-0.528;110.54;4311.349472
26240170;Playalta;10/11/1982;24/03/2025;7.562555556;-75.44855556;4729919.538;2394413.076;175;Antioquia;6.34;No;-0.501;114.35;4572.902839
26250060;Puerto Raudal;17/03/1975;28/02/2025;7.369916667;-75.32761111;4743154.742;2373035.242;125;Antioquia;10.88;No;-0.525;136.54;5283.501282
27015150;Hacienda el progreso;1/05/1973;10/12/2017;6.447472222;-75.39716667;4734961.459;2271056.75;1345;Antioquia;9.43;No;-0.534;61.17;1954.205052
23050100;San Miguel;9/03/1979;24/03/2025;5.73081;-74.72604;4808936.482;2191531.352;168;Antioquia;5.83;No;-0.604;110.77;2669.059677
23070020;Rio Claro;1/01/1986;1/03/2025;5.855527778;-74.84836111;4795436.611;2205361.585;449;Antioquia;3.48;No;-0.615;134.24;3821.336879
23085140;San Francisco;1/07/1974;24/03/2025;5.963805556;-75.10069444;4767543.779;2217432.212;1325;Antioquia;3.82;No;-0.481;109.21;5181.232281
23085220;San Carlos;1/03/1983;31/01/2025;6.157666667;-75.03891667;4774463.368;2238841.189;1113;Antioquia;7.83;No;-0.507;105.42;4599.619086
23090100;San Juan Beduth;24/08/1984;28/02/2002;6.6;-74.45;4839760.886;2287521.308;150;Antioquia;5.6;No;-0.643;110.86;2464.711508
26230110;San Andres;1/01/1947;24/03/2025;6.909833333;-75.66986111;4705068.521;2322352.322;1839;Antioquia;12.97;No;-0.527;66.01;2100.607087
26230200;Sabanalarga;21/03/1975;24/03/2025;6.846;-75.81480556;4689003.087;2315382.638;910;Antioquia;1.48;No;-0.613;56.07;1418.677068
27010830;San Isidro;17/08/1970;24/03/2025;6.563222222;-75.51575;4721906.151;2283922.435;2320;Antioquia;1.38;Sí;-0.533;47.33;1800.178486
27011230;San Antonio;1/10/1999;1/03/2025;6.620833333;-75.15166667;4762199.939;2290105.322;1029;Antioquia;0.45;No;-0.568;59.42;2156.753333
23080390;Santo Domingo;1/01/1959;24/03/2025;6.468305556;-75.16380556;4760785.105;2273245.006;1944;Antioquia;12.88;Sí;-0.537;85.45;3099.824483
23080760;San Roque;28/05/1975;24/03/2025;6.4875;-75.017;4777030.132;2275300.517;1435;Antioquia;1.72;Sí;-0.542;121.66;4110.480759
23080920;Santuario;1/06/1992;1/03/2025;6.13388;-75.274;4748435.487;2236315.844;2138;Antioquia;0.9;No;-0.558;72.82;2590.076114
23100080;Santa Clara;1/09/1984;28/02/2002;6.65;-74.31666667;4854512.843;2293006.863;100;Antioquia;16.37;No;-0.604;110.14;3220.380238
26190100;Santa Barbara;1/11/1970;28/02/2025;5.563972222;-75.90008333;4678796.661;2173597.589;1594;Antioquia;2.27;No;-0.59;65.89;2386.670702
26220110;Santa Rita;10/09/1982;24/03/2025;7.32375;-75.61686111;4711186.555;2368105.344;2039;Antioquia;0.22;No;-0.532;75.73;2723.245238
26255020;Santa Isabel;16/09/1970;1/03/2025;7.157222222;-75.442275;4730367.76;2349578.563;1131;Antioquia;9.9;No;-0.522;119.11;4618.366828
27010810;Santa Elena;1/09/1970;24/03/2025;6.196888889;-75.51675;4721597.637;2243404.958;2707;Antioquia;6.64;No;-0.468;68.11;2743.664062
27010840;San Pablo;20/10/1970;1/03/2025;6.602;-75.24652778;4751701.421;2288069.102;1900;Antioquia;3.63;Sí;-0.518;94.93;3243.067872
11075020;Urrao;1/07/1973;24/03/2025;6.298305556;-76.14330556;4652293.652;2254998.176;1833;Antioquia;9.75;No;-0.564;50.02;1667.489056
23080820;Tafetanes;7/05/1983;30/11/2024;6.146722222;-75.11775;4765734.517;2237664.99;1940;Antioquia;13.98;No;-0.515;106.81;4665.816968
